Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,SizeType,SizeValue
27,1.035,2,5,2,55,3,0,1853
40,1,3,1,1,58,0,0,657
72,0.4488,3,3,1,83,2,0,1045
23,4.9,3,6,0,73,0,1,3700
50,2.48,2.5,5,3,56,1,0,3041
39,2.716,2,4,2,80,1,0,2227
39,1.48,2,3,0,56,0,0,1544
21,9.5,3.5,7,6,45,1,1,10000
40,8.3436,3,3,2,59,2,0,2454
76,0.5,3,2,1,80,1,0,715
40,3.6,3,4,0,80,1,0,3897
50,2.48,2.5,5,3,55,2,0,3041
40,3.5,3,3,1,79,0,0,1560
50,2.2,3,4,2,55,2,0,2243
40,3.6,2,4,2,80,0,0,3897
14,1.06,2.5,4,4,56,1,0,1772
14,0.9,2.5,3,3,56,1,0,1513
40,1.85,3,1,1,56,1,0,2174
64,0.668,2,3,3,56,0,0,1345
40,1.05,2,3,2,83,0,0,1313
32,0.509,3,2,1,79,2,0,797
25,3.17,2.5,5,0,23,1,0,4306
25,3.4,3,6,0,23,2,0,5448
40,2.998,2,3,2,59,1,0,3218
40,2.58,2,3,2,59,1,0,2809
25,5.6,4,9,0,28,1,0,7000
25,1.26,1.5,3,0,59,1,0,1485
25,1.99,2,4,0,12,1,0,2500
50,2.1,3,4,0,59,0,0,2441
40,1.1,3,2,1,80,0,0,880
40,3.6,2.5,3,2,84,1,0,3897
40,2.9,2,4,3,55,0,0,2809
64,0.67,3,2,2,55,1,0,1085
25,1.37,2,3,0,55,1,0,1572
25,3.48,2.5,5,0,20,1,1,3450
25,1.35,3,2,2,59,1,0,1292
40,2.3,3,2,1,79,1,0,1023
40,1.9,3,2,1,55,1,0,915
40,1.45,3,2,2,80,0,0,1090
40,1,3,1,0,62,0,0,657
40,1.3,3,1,1,79,1,0,925
40,3.6,3,4,2,80,1,0,3897
82,5.35,3,5,3,44,1,1,7200
14,1.05,2.5,4,4,55,1,0,1772
14,1.2,3,4,4,55,1,0,1930
14,0.9,2.5,3,2,55,1,0,1513
23,2.2518,1.5,4,2,79,1,0,1668
14,0.998,3,5,4,22,1,1,1650
50,1.55,2,4,2,55,1,0,1496
67,0.78,3,3,2,56,1,0,1368
25,1.38,3,2,2,59,1,0,1292
25,1.798,2,3,2,23,1,0,2200
40,1.3,3,1,1,79,2,0,925
40,1.268,3,3,1,56,0,0,1619
40,2.6,2,4,3,55,0,0,2809
40,4.2,2,4,2,80,1,0,2195
40,3.33,1.5,3,1,80,0,0,2789
40,2.6,3,2,1,83,0,0,1184
40,1.95,1,2,1,83,1,0,1076
64,0.9,2,4,3,55,2,0,1381
40,1.4,3,2,1,80,0,0,1050
23,6.5,3,5,4,44,1,1,7200
50,1.8,3,4,2,55,1,0,1830
8,3.8,2.5,5,4,45,1,0,4067
9,0.35,3,1,1,36,2,0,495
40,3.6,2.5,5,2,84,3,0,3897
63,0.635,2,4,2,56,1,0,1643
76,0.53,3,2,0,79,2,0,715
40,5.07,2,4,3,80,1,0,2142
37,1.207,3,1,1,83,1,0,685
37,1.177,3,1,1,83,1,0,717
88,0.7,3,2,2,55,1,0,1152
3,3.71,2.5,5,0,55,1,0,3369
50,1.9,2,4,0,55,0,0,2411
50,3.7854,3,5,3,57,1,0,3907
40,1.3,3,2,2,55,0,0,871
64,0.96,2,4,2,56,2,0,1488
37,0.49,3,2,2,55,2,0,1065
50,4.2,3,5,3,56,1,0,3709
40,1.45,3,1,1,82,0,0,1050
25,2.38,2.5,4,3,56,0,0,2454
25,1.35,2,3,2,56,2,0,1389
40,1.8,2.5,5,0,55,2,0,2315
14,1.21,3,6,4,23,1,0,3400
82,4.995,3,7,6,48,1,1,8113
50,1.9,2.5,4,2,56,1,0,1830
40,2.7,3,2,2,79,1,0,1195
40,6.3,2,4,2,80,1,0,2195
40,1.9,1.5,2,1,55,0,0,915
40,3,2.5,5,3,55,1,0,3218
67,0.24,3,2,1,55,2,0,850
40,1.3,3,2,0,56,0,0,871
40,1,3,1,1,58,1,0,751
40,1,3,1,1,58,1,0,751
40,2,1.5,2,1,80,0,0,1350
40,6.38,2,4,2,80,1,0,2195
50,2.48,2.5,6,0,55,1,0,2702
10,0.676775,2,3,4,83,1,0,1265
50,2.28,2.5,5,0,55,1,0,2702
50,1.83,2.5,4,2,56,1,0,1830
20,1.75,1.5,3,1,79,1,0,1442
25,1.78,2,3,2,12,0,0,2400
42,3.38,3,4,0,77,1,1,4050
14,1.2,3,4,4,56,1,0,1930
40,2.3,3,2,1,79,1,0,1046
40,2.3,3,1,2,83,1,0,1046
50,1.6,2,3,2,55,1,0,1878
50,1.291,3,4,3,55,1,0,2069
40,0.88,3,1,1,79,0,0,710
32,0.655,2,2,2,80,1,0,1094
50,2.15,2,5,3,55,2,0,2700
50,1.4,2,4,2,55,1,0,1496
40,7.97525,2.5,6,2,84,0,0,2975
50,1.1,3,2,2,55,1,0,1200
40,1.238,3,2,1,55,1,0,736
9,0.75,3,2,1,83,1,0,823
23,2.1,2,4,2,56,1,0,2153
14,0.9,2.5,4,0,55,2,0,1513
50,1.5,3,2,2,55,0,0,1200
50,2.3,2.5,6,3,56,1,0,2702
40,1,1.5,2,0,79,1,0,777
40,0.99,2,3,2,80,0,0,1313
40,3.96,2,4,2,80,1,0,2195
40,2.7,3,2,2,80,0,0,1184
40,1.9,1,2,1,83,0,0,1087
25,5.46,4,9,6,28,1,0,7000
40,2.05,2,5,2,55,0,0,2356
9,1.1218,1.5,2,1,79,0,0,1200
40,1.5063,3,1,1,83,0,0,1020
8,1.53,2,3,2,56,0,0,2095
2,3.68,3,8,4,45,2,1,6300
40,3.6,2,5,2,80,1,0,3897
50,2.3,2.5,5,0,55,1,0,2906
25,1.48,2.5,4,2,56,1,0,1917
9,1.05,3,2,2,59,0,0,1485
44,1.200019,3,2,1,56,1,0,577
19,0.78,2.5,4,0,45,2,1,5320
40,1.999,3,2,1,83,2,0,1271
50,1.82,2.5,4,2,56,1,0,1830
3,3.7,2.5,5,2,56,2,0,3628
50,1.42,2,4,2,55,1,0,1499
50,1.83,2.5,4,2,55,1,0,1832
40,1.68,2,2,3,55,0,0,1159
40,2.21,3,3,2,55,0,0,1502
40,1.42,3,2,1,59,0,0,976
40,3.6,2.5,5,2,80,1,1,3897
40,1.238,3,2,1,55,1,0,736
40,1.139,3,1,1,55,1,0,751
40,2.93,3,2,2,80,0,0,1114
25,1.58,3,3,0,23,1,0,1900
23,1.62,1,2,1,79,1,0,1194
25,1.3,1.5,3,2,59,1,0,1367
21,8,3,7,6,45,1,1,10600
23,6.5,3,4,6,45,1,1,7880
25,1.2,3,2,0,88,1,0,1400
8,1.6,3,2,2,88,1,0,2400
25,1.73,2,3,2,56,0,0,1690
25,1.5,2,2,2,59,0,0,1346
25,2.8,2,4,0,23,1,1,1302
25,3.28,2.5,4,0,48,1,1,3200
25,1.5,2,3,2,59,1,0,1400
25,5.5,3.5,8,0,28,1,1,2805
25,1.18,1.5,3,2,55,1,0,1507
25,2.3,3,3,0,12,1,1,1826
25,1.95,2,3,0,12,0,0,2300
40,2.95,2,4,2,56,1,0,2674
9,0.49,3,1,1,79,0,0,520
40,3.09,3,2,2,79,1,0,1572
40,1.23,2,4,2,80,0,0,1378
32,0.35,3,2,1,79,1,0,950
40,1.23,3,1,1,83,0,0,850
25,1.25,1.5,2,2,59,1,0,1303
25,1.1,1.5,3,2,59,2,0,1378
79,2.8,2.5,6,4,45,1,1,5628
40,3.6,2,5,2,80,1,0,3897
3,5.9,2.5,5,3,55,2,0,4000
40,3.9,3,2,2,79,1,0,1636
40,1.3,3,1,1,82,1,0,925
40,1.24,3,1,0,83,0,0,850
14,0.438,3,2,1,37,1,0,1018
32,0.53,2,2,1,80,1,0,900
68,0.59,3,2,2,59,1,0,1196
40,1,3,1,1,55,1,0,751
40,1.9,1.5,2,1,56,1,0,915
40,2.4,3,2,1,79,0,0,1006
67,0.38,2,2,2,55,2,0,950
40,1.198,1,1,1,80,0,0,764
40,1,3,1,1,58,1,0,657
40,1.78,3,1,1,79,0,0,728
51,5.9,3.5,8,0,45,1,1,12722
40,2.3,3,1,1,79,1,0,1023
40,1,3,1,1,55,1,0,751
40,0.8,1.5,3,1,80,0,0,1055
72,1.34,2.5,6,0,23,2,0,3216
40,3.6,2,5,2,80,1,0,3897
12,6,2.5,5,2,80,1,0,4157
40,1.25,2,4,2,82,0,0,1378
40,2.3,3,2,1,79,1,0,1023
14,0.9,2.5,3,3,56,1,0,1513
50,1.85,2.5,4,2,59,1,0,1830
40,2.4,3,2,1,79,1,0,1006
88,1.6133,2,5,3,55,1,0,2336
40,2.44,3,2,1,80,0,0,1023
23,5,2,3,4,45,1,1,7700
70,7.3,3,6,6,45,1,1,7300
40,3.2,3,2,1,79,2,0,1572
50,1.85,2.5,4,2,59,1,0,1830
39,0.78399,3,1,1,79,1,0,650
34,0.495,3,1,0,83,0,0,560
18,0.5692,1,2,2,79,2,0,888
82,1.15,3,2,1,56,1,0,1560
14,0.425,3,2,1,59,1,1,1087
50,1.8,2,4,2,56,1,0,2243
8,6.67,2.5,6,0,55,1,0,4771
33,0.58,3,2,1,56,1,0,1590
50,0.618,3,1,1,83,0,1,650
50,1.518,2,3,3,56,1,0,2648
50,2.22,2.5,4,3,55,1,0,2973
40,3.6,3,4,2,80,0,0,3897
82,3.1,2.5,4,3,73,1,1,3600
8,4.9,3,4,4,48,1,1,11676
50,1.95,2,4,3,55,0,0,2535
25,3.2,2.5,4,0,19,1,0,4300
40,3.6,2,4,2,80,1,0,3897
72,0.6,1.5,2,2,83,1,1,1025
20,4.13,2.5,5,2,56,1,0,3713
39,2.3,2,4,2,79,2,0,1873
39,5.1497,2.5,5,0,79,2,0,2982
39,5.129,2.5,4,0,79,2,0,3143
40,1.78,3,3,2,55,0,0,1232
14,0.9,2.5,3,3,56,1,0,1513
14,0.597,3,2,2,55,2,0,1550
8,6.38,2,5,3,56,1,0,4025
8,6.9,2.5,6,3,56,1,0,4945
32,0.66,3,2,2,56,1,1,992
40,3.125,1,2,2,83,1,0,1421
40,2.48,3,1,1,83,1,0,1023
23,4,2.5,5,2,77,1,1,3700
40,1.05,2,4,2,80,1,0,1313
40,1.833,3,1,1,79,0,0,925
40,2.999,2,3,3,82,0,0,2066
14,0.638,1,1,1,83,1,0,721
8,6.8425,2,5,4,55,1,0,4025
8,8.47605,2.5,5,4,55,1,0,5137
50,1.415,2,4,2,55,1,0,1496
17,6.9,3,5,0,44,1,1,12000
40,1.38,2,4,2,80,0,0,1701
40,2.8,3,2,0,79,0,0,1103
8,8.28,2.5,6,4,56,1,0,5137
76,3.69,2.5,5,6,73,2,1,3658
71,0.95,2.5,3,2,12,1,1,1650
14,4,3.5,7,4,48,1,1,5337
8,9.96,3,7,6,55,1,0,6913
8,6.66,3,5,3,56,1,0,4771
8,6.3,2,5,3,55,1,0,4025
76,0.628,3,2,1,59,1,0,1150
76,0.628,3,2,1,59,1,0,1150
50,1.59,2,4,2,55,1,0,1878
40,3.33,1.5,3,1,80,0,0,2789
67,0.428,2,2,2,79,1,0,918
82,4.8,3,4,0,48,1,1,8300
25,0.815,3,2,0,55,0,0,1085
8,7.5,2,5,4,55,1,0,4025
40,1.45,3,2,1,55,0,0,867
25,2.95,2,5,0,12,2,0,3082
40,1,3,1,1,55,1,0,751
9,0.64,3,2,1,79,2,0,823
9,0.84,3,2,1,79,2,0,1119
50,2.6,2.5,5,3,56,1,0,3478
82,1.55,1.5,3,2,79,2,0,1444
82,2.75,2,4,2,79,1,0,2426
65,5.5,3,6,4,48,0,1,5446
67,0.428,2,2,2,79,2,0,918
64,0.77,3,3,2,55,1,0,1186
23,3.6,3,7,5,44,2,1,5000
23,6.5,3,6,4,44,2,1,8500
40,0.87,1.5,3,0,79,0,0,1055
40,1.2,3,2,1,59,1,0,976
8,7.6,3,6,0,44,0,1,7750
63,0.72,2,3,2,56,0,0,1577
14,1.15,3,3,4,56,1,0,1772
14,0.928,3,3,2,56,1,0,1513
40,1.35,1,2,1,79,0,0,900
32,0.36,3,2,1,59,1,0,1088
40,1,3,1,1,58,1,0,751
40,0.83,3,1,0,83,0,0,473
50,1.865,2,5,3,56,1,0,2535
40,1.308,1,1,1,56,0,0,753
40,1.76,1.5,2,2,56,0,0,1159
72,0.568,3,2,2,56,1,0,904
40,1.02,3,2,1,80,0,0,813
40,2.4,3,2,1,80,0,0,1103
40,1.099,1.5,2,1,79,0,0,833
40,1.55,3,2,2,80,0,1,910
50,1.42,3,4,2,55,0,0,1496
50,2.15,2,4,0,56,1,0,2707
50,2.55,2.5,5,2,55,1,0,2973
50,1.85,3,3,2,79,2,0,1573
14,0.98,2.5,3,2,56,0,0,1513
23,2.65,2,5,3,79,1,0,2077
40,3.364,1.5,2,2,83,0,0,1399
40,1.42,1.5,2,1,56,1,0,976
40,2.889,3,2,1,83,0,0,1163
40,1.45,3,1,0,82,0,0,1050
3,6.22,2.5,6,0,55,0,0,4327
20,1.08,3,2,1,59,1,0,1411
20,0.916,3,1,1,55,0,0,1119
50,2.5,3,4,4,73,1,0,3833
72,2.2,2.5,5,5,77,1,1,3282
2,3.6,2.5,4,6,48,2,1,9670
82,5,4,5,3,44,0,1,6000
9,0.53,3,1,0,83,0,0,638
39,2.4349,2,4,1,79,2,1,1873
23,1.6,1,2,1,79,1,0,1152
79,2,3,6,3,77,1,1,3200
19,0.535,3,1,1,83,1,0,762
40,6.4,2,4,0,55,2,0,2013
40,1.2,3,3,2,79,0,0,1335
39,2.55,2,5,2,80,1,0,1830
2,1.48,2,4,2,59,0,0,1876
72,1.348,3,6,4,23,2,0,3216
67,0.428,2,2,2,79,1,0,918
50,0.618,3,1,1,83,0,0,462
50,1.59,2,3,2,55,1,0,2201
40,0.9,1.5,2,0,79,0,0,811
50,1.7,2,4,2,55,0,0,1496
67,0.36,3,1,0,82,1,0,618
50,1.95,2.5,4,2,55,1,0,1830
40,2.3,3,1,2,80,1,0,1023
40,1.25,1.5,3,2,80,0,0,1335
40,3.166,3,2,1,83,0,0,1423
32,0.37,3,2,2,83,1,0,950
40,1,3,1,1,58,0,0,751
8,6.7,2.5,6,3,56,2,0,4771
8,6.6,2,5,3,56,3,0,4025
8,7.4,2.5,5,5,55,1,0,5137
8,6.6,2.5,6,0,55,1,0,4945
23,4.5,3,7,3,44,1,1,2970
8,6.8,3.5,6,6,44,1,1,7416
38,1.288972,3,2,1,55,0,0,1076
39,3.7,3,3,1,79,1,0,1738
40,8.4,3,3,2,59,2,0,2454
19,0.41,3,2,2,56,1,0,885
40,3.36,1,2,2,79,1,0,1421
23,1.77,1,2,1,79,0,0,1152
50,1.86,2,4,2,56,1,0,2070
40,1.45,3,2,1,80,0,0,1050
14,1.06,2.5,4,4,56,1,0,1772
14,0.9,2.5,3,2,56,1,0,1513
32,1.08,2,4,2,59,1,0,1875
56,0.57,3,2,1,56,1,1,1200
50,1.88,2,3,2,55,1,0,2243
50,1.685,2,3,2,55,1,0,2038
14,0.55,3,2,2,59,1,0,1073
40,1,3,1,1,55,1,0,751
25,2.79,2,4,0,8,1,0,3000
40,2.5,3,2,1,79,1,0,1023
25,2.2,3,5,0,8,3,1,2200
40,0.78,3,1,0,83,0,0,497
19,0.998,3,5,0,19,1,0,4186
12,2.0448,3,2,1,79,0,0,912
14,1.25,2,4,2,55,0,0,1700
40,4.95,3,4,2,84,0,0,3300
50,2.34,2.5,5,3,55,1,1,0
50,1.698,2,4,2,55,1,1,0
50,1.42,2,4,2,55,1,0,1496
32,0.928,2,2,2,58,2,0,1523
14,0.565,3,2,2,55,1,0,1100
32,1.55,2,4,4,56,1,0,2638
23,3.2,2.5,5,4,76,1,1,3670
32,0.67,3,2,2,79,0,0,907
40,1,3,1,1,55,1,0,657
20,5.999,2,4,3,57,0,0,3289
32,1.35,2.5,4,3,56,2,0,2128
50,2.23,2.5,5,3,55,1,0,2973
20,0.83,3,2,1,59,0,0,1072
20,1.1,2,4,2,59,1,0,2111
23,8.3,3,6,4,48,1,1,6103
70,3.45,2.5,5,3,48,1,1,5200
50,1,3,2,0,79,1,0,1000
40,2.3,3,2,1,79,1,0,1023
40,3.6,2,5,2,80,1,0,3897
50,2.3,2.5,4,2,55,3,0,2702
40,1,3,1,1,58,1,0,751
40,4.756,3,2,2,56,1,0,1399
50,1.78,3,3,2,80,1,0,1523
40,1.35,1,2,1,79,0,0,900
40,2.27,1,2,0,83,1,0,1076
64,0.375,3,2,1,79,2,0,743
9,0.38,1,1,1,36,1,0,452
40,0.97,3,1,1,83,0,0,603
14,0.9,3,3,2,56,1,0,1513
14,1.06,2.5,4,4,56,1,0,1772
40,4.25,2.5,6,2,79,0,0,3300
40,2.2,2,3,0,79,1,0,1888
25,2.3,2.5,5,3,56,1,0,2454
67,0.52,3,2,2,56,1,0,1450
37,1.42,2,3,2,80,0,0,1582
39,1.06514,3,3,2,80,1,0,1025
40,1.299,3,2,1,80,0,0,900
8,7.6,2.5,5,3,56,2,0,4771
40,1.238,3,2,1,55,1,0,736
50,2.39,2.5,4,3,55,2,0,3043
14,0.85,3,2,2,55,0,0,1335
39,4.71868,2.5,5,4,84,1,0,3143
39,2.05,3,5,0,55,0,0,3004
50,9.9,3.5,8,2,45,1,1,8700
8,5,3,6,4,73,1,1,4800
50,1.85,2,3,2,55,0,0,2020
40,3.36,3,2,2,83,1,0,1572
40,1,1.5,2,1,79,0,0,811
12,1,3,2,1,79,0,0,1012
76,3.7,2.5,5,6,77,1,1,3040
76,4.2,2.5,5,4,48,2,1,1615
76,2.688888,3,5,9,55,1,0,4069
8,8.2,2.5,6,5,56,1,0,4945
50,6.3,2.5,5,6,55,1,0,8000
76,5.5,3,7,6,48,2,1,7100
32,0.55,3,2,1,83,0,0,775
76,3.688,2.5,5,5,35,1,1,1367
40,1,1.5,2,1,83,0,0,849
20,1.73,1.5,3,1,80,0,0,1442
17,5.5,3,6,5,60,1,0,6900
14,0.9,2.5,3,3,56,1,0,1513
14,1.06,2.5,4,4,56,1,0,1772
72,0.63,1.5,2,2,79,1,0,1025
14,0.9,3,2,2,79,1,0,1170
72,0.8,3,3,2,79,1,0,1430
8,9,3,6,4,48,1,1,8000
23,9.6,4,9,6,45,1,1,7600
37,0.978458,3,1,0,81,1,0,562
14,1.75,2.5,5,3,56,1,0,2700
50,1.3,3,2,0,55,1,0,1200
88,1.6133,2,4,3,56,1,0,2336
38,1.2,3,2,1,55,1,0,969
50,2.285,3,6,3,56,1,0,2874
19,0.363,3,2,1,83,1,0,950
32,1.43,2,4,3,56,1,0,2638
63,1.147,3,5,5,55,1,0,2500
40,1,3,1,1,55,1,0,751
50,0.645,3,1,1,79,0,1,462
40,1.78,3,1,1,79,0,0,728
40,1.9,1.5,2,1,55,1,0,915
25,2.29,2.5,3,0,8,1,0,2200
40,1,3,1,1,58,1,0,751
40,1.45,3,2,1,83,0,0,1050
25,1.15,3,2,2,56,1,0,1580
40,3.354,3,2,1,83,0,0,1006
40,1.78,3,1,1,79,0,0,728
40,3.6,2,5,2,80,1,0,3897
12,0.9,3,3,1,83,0,0,1063
32,0.938,1.5,3,2,59,1,0,1523
8,1.59,2.5,3,0,12,2,1,1900
9,0.668,3,1,0,79,2,0,815
50,1.8,2,4,2,55,1,0,2038
12,2.98155,3,3,0,80,1,0,1509
67,0.38,2,2,2,55,2,0,950
50,1.45,2,4,2,55,1,0,1496
50,1.2,3,2,2,55,1,0,1200
50,1.85,2,4,2,55,1,0,2038
14,0.98,2.5,3,2,55,1,0,1513
40,1.377,3,2,1,59,1,0,871
40,1.621,3,2,2,59,1,0,1031
40,1.245,3,1,2,83,1,0,925
40,3.6,2,5,2,80,1,0,3897
40,4.958,3,5,4,84,0,0,2615
40,1.83,2,4,2,79,0,0,1426
40,2.6888,2,5,2,56,0,0,2593
40,3.58,2.5,5,0,80,0,0,3897
40,3.2916,1.5,3,1,80,1,0,1688
50,1.1,3,2,2,55,1,0,1200
40,1.1988,3,1,1,79,0,0,636
40,1.25,3,1,1,80,0,0,925
40,1.83,1,2,1,79,1,0,1076
50,1.84,2,4,3,56,1,0,2694
40,2.44944,2.5,5,0,56,0,0,2916
51,2.398,3,3,8,73,0,1,5000
8,5.8,3,6,4,44,1,1,6600
32,0.35,3,2,0,79,1,0,950
50,1.69,2,4,2,59,1,0,2020
39,1.38,3,2,1,55,0,0,1500
32,2.126,3,6,6,55,2,0,5632
8,1.55,3,2,2,92,0,0,2400
40,1.9,1,2,1,83,0,0,1076
8,2.9,2.5,3,4,11,1,1,3254
50,2.89,2.5,6,3,56,0,0,3478
50,0.6,3,1,1,83,0,0,633
40,2.27,1,2,1,79,0,0,1087
67,0.418,3,2,2,80,1,0,900
19,0.318,3,2,1,59,0,0,970
40,1,3,1,1,55,1,0,657
70,9,3,6,0,44,1,1,8100
71,2.4,3,5,6,77,1,1,4000
38,0.78,3,1,1,55,1,0,657
47,0.7,2,3,2,59,1,0,1496
14,1.068,2.5,3,4,56,1,0,1772
25,3.79,3,6,0,74,1,1,3500
40,1.42,3,2,1,59,1,0,976
50,2.33,2.5,5,3,56,1,0,2702
25,3.5,3,4,0,23,1,0,5448
50,1.78,2,4,2,56,1,0,2073
40,1.05,3,1,1,59,0,0,751
19,0.53,2,2,1,59,2,0,1394
25,1.99,2,4,0,12,1,1,1650
40,1.6375,3,2,1,55,0,0,976
40,7.97525,2.5,6,2,84,2,0,2975
32,0.669,2,2,2,83,2,0,1094
32,1.438,2,4,4,59,2,0,2378
32,1.28,2.5,4,3,59,0,0,2128
40,1,2,3,2,79,0,0,1313
32,0.945,1.5,3,2,59,1,0,1523
40,1.55,1,2,1,79,1,0,711
40,3.1,3,2,2,80,1,0,1572
8,2.9,3.5,3,4,11,1,1,3400
40,2.67,3,2,1,79,0,0,1114
50,0.908,3,2,1,79,1,0,873
50,1.15,3,2,1,79,1,0,910
50,1.1,3,2,1,79,0,0,907
23,5.4,3,4,6,44,2,1,7318
72,0.664,3,2,2,56,1,0,1260
40,1.05,3,1,1,58,1,0,751
40,0.99,3,1,1,55,1,0,657
37,0.768,3,1,1,80,0,0,546
50,1.45,2,4,2,59,1,0,1496
40,1.23,3,1,1,83,0,0,850
40,1,3,1,1,59,1,0,657
50,1.685,2,4,2,56,1,0,2038
67,1.377,2.5,5,0,55,2,0,2501
50,2.8,2.5,5,3,55,0,0,3041
50,1.75,2,4,0,55,2,0,2073
23,2.6,2,4,2,79,1,0,1851
40,3.6,2,4,2,80,2,0,3897
23,1.4,3,1,1,79,1,0,904
40,1,3,1,1,55,1,0,751
40,5.07,3,3,3,79,1,0,2142
19,0.45,3,2,2,55,2,0,1018
23,3.8,3.5,6,4,44,1,1,5000
40,3.843,1,2,1,56,1,0,1098
8,7,3,6,4,45,1,1,6846
38,1.0611,1,1,1,55,1,0,786
38,0.9,3,1,1,55,0,0,657
42,0.485,3,2,1,55,0,0,950
25,1.16,3,2,2,59,1,0,1389
25,3.55,2.5,5,4,23,2,0,4306
23,5.4,2.5,4,6,45,1,1,7300
50,0.98,3,2,1,79,2,0,932
40,1.3,3,1,2,79,1,0,925
50,0.71,3,1,0,79,1,0,676
88,1.174338,2.5,5,3,56,1,0,2266
50,1.6,2,4,2,55,1,0,1496
40,1.25,3,2,1,55,1,0,736
25,1.83,2,3,0,12,1,1,1650
42,2.1,3,6,4,73,2,1,3060
