Location Indicator,Location,Price,Rooms,Bathrooms,Car Parks,Property Type Indicator,Property Type,Furnishing Indicator,Furnishing,SizeType Indicator,SizeType,SizeValue
50,Mont Kiara,2300000,2.5,5,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2702
40,KLCC,4000000,2,3,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,2250
3,Ampang Hilir,4800000,3,6,3,55,Condominium,1,Partly Furnished,0,Built-up,4300
3,Ampang Hilir,3780000,2.5,5,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3628
9,Bangsar South,850000,1.5,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1050
50,Mont Kiara,1850000,2,4,0,55,Condominium,1,Partly Furnished,0,Built-up,2347
40,KLCC,1698800,3,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1227
72,Sungai Besi,999000,2.5,4,2,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,2512
39,KL Sentral,3500000,3,1,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,1648
40,KLCC,1500000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1022
40,KLCC,2300000,3,2,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,1023
50,Mont Kiara,1830000,2,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1830
67,Setapak,580000,2.5,2,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1550
40,KLCC,3000000,2,3,3,79,Serviced Residence,2,Unfurnished,0,Built-up,2066
50,Mont Kiara,2180000,2.5,4,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3000
40,KLCC,2030000,2,5,2,55,Condominium,0,Fully Furnished,0,Built-up,2356
50,Mont Kiara,3450000,2.5,6,3,55,Condominium,0,Fully Furnished,0,Built-up,3720
20,City Centre,4080000,2.5,5,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3713
82,Taman Tun Dr Ismail,2880000,2.5,3,4,9,2-sty Terrace/Link House (Corner),1,Partly Furnished,1,Land area,4244
40,KLCC,1799000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,720
40,KLCC,1820000,1.5,2,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1159
40,KLCC,1000000,2,3,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,1313
40,KLCC,1650000,2,5,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1905
40,KLCC,2300000,3,1,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,1023
50,Mont Kiara,2400000,2.5,5,3,55,Condominium,1,Partly Furnished,1,Land area,2702
40,KLCC,2055000,1,1,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,797
40,KLCC,1714000,3,1,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,700
14,Bukit Jalil,620000,3,2,0,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1232
14,Bukit Jalil,1720000,3.5,7,0,17,2.5-sty Terrace/Link House (Intermediate),2,Unfurnished,1,Land area,3033
40,KLCC,2300000,2,4,3,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3282
14,Bukit Jalil,920000,2.5,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1513
40,KLCC,2300000,3,1,2,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,1046
82,Taman Tun Dr Ismail,4995000,3,7,6,44,Bungalow,1,Partly Furnished,1,Land area,8113
50,Mont Kiara,1850000,2.5,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1830
40,KLCC,1783000,3,2,1,55,Condominium,1,Partly Furnished,0,Built-up,976
27,Dutamas,1180000,2,4,1,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1942
14,Bukit Jalil,900000,2.5,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
20,City Centre,1700000,1.5,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1442
40,KLCC,850000,3,2,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,761
23,Damansara Heights,6800000,3.5,7,0,44,Bungalow,2,Unfurnished,1,Land area,7000
50,Mont Kiara,3100000,2.5,6,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,3400
14,Bukit Jalil,630000,3,2,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,791
40,KLCC,1780000,3,1,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,728
25,Desa ParkCity,2850000,2,3,0,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,3211
25,Desa ParkCity,1050000,1.5,2,2,55,Condominium,1,Partly Furnished,0,Built-up,1389
50,Mont Kiara,2600000,2.5,4,3,55,Condominium,1,Partly Furnished,0,Built-up,3041
9,Bangsar South,630000,1,1,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,663
40,KLCC,3364000,1.5,2,2,79,Serviced Residence,0,Fully Furnished,0,Built-up,1399
14,Bukit Jalil,978000,2.5,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1513
40,KLCC,3600000,2,5,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
40,KLCC,3600000,2,5,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
40,KLCC,2000000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1087
50,Mont Kiara,1630000,2.5,4,2,55,Condominium,1,Partly Furnished,0,Built-up,2065
40,KLCC,1250000,3,2,1,55,Condominium,1,Partly Furnished,0,Built-up,736
9,Bangsar South,630000,1,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,650
40,KLCC,1350000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1050
9,Bangsar South,490000,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,500
9,Bangsar South,800000,3,2,1,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,825
25,Desa ParkCity,1980000,2,4,0,8,2-sty Terrace/Link House,1,Partly Furnished,0,Built-up,2200
27,Dutamas,1035000,2,5,2,55,Condominium,3,Unknown,0,Built-up,1853
40,KLCC,1000000,3,1,1,58,Condominium (EndLot),0,Fully Furnished,0,Built-up,657
72,Sungai Besi,448800,3,3,1,83,Serviced Residence (Intermediate),2,Unfurnished,0,Built-up,1045
23,Damansara Heights,4900000,3,6,0,73,Semi-detached House,0,Fully Furnished,1,Land area,3700
50,Mont Kiara,2480000,2.5,5,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3041
39,KL Sentral,2716000,2,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,2227
39,KL Sentral,1480000,2,3,0,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1544
21,Country Heights Damansara,9500000,3.5,7,6,45,Bungalow (Corner),1,Partly Furnished,1,Land area,10000
40,KLCC,8343600,3,3,2,59,Condominium (Intermediate),2,Unfurnished,0,Built-up,2454
76,Taman Desa,500000,3,2,1,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,715
40,KLCC,3600000,3,4,0,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
50,Mont Kiara,2480000,2.5,5,3,55,Condominium,2,Unfurnished,0,Built-up,3041
40,KLCC,3500000,3,3,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1560
50,Mont Kiara,2200000,3,4,2,55,Condominium,2,Unfurnished,0,Built-up,2243
40,KLCC,3600000,2,4,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,3897
14,Bukit Jalil,1060000,2.5,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1772
14,Bukit Jalil,900000,2.5,3,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
40,KLCC,1850000,3,1,1,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2174
64,Sentul,668000,2,3,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1345
40,KLCC,1050000,2,3,2,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1313
32,Jalan Klang Lama (Old Klang Road),509000,3,2,1,79,Serviced Residence,2,Unfurnished,0,Built-up,797
25,Desa ParkCity,3170000,2.5,5,0,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,4306
25,Desa ParkCity,3400000,3,6,0,23,3-sty Terrace/Link House (Intermediate),2,Unfurnished,0,Built-up,5448
40,KLCC,2998000,2,3,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,3218
40,KLCC,2580000,2,3,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,2809
25,Desa ParkCity,5600000,4,9,0,28,3.5-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,7000
25,Desa ParkCity,1260000,1.5,3,0,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1485
25,Desa ParkCity,1990000,2,4,0,12,2-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,2500
50,Mont Kiara,2100000,3,4,0,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,2441
40,KLCC,1100000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,880
40,KLCC,3600000,2.5,3,2,84,Serviced Residence (Penthouse),1,Partly Furnished,0,Built-up,3897
40,KLCC,2900000,2,4,3,55,Condominium,0,Fully Furnished,0,Built-up,2809
64,Sentul,670000,3,2,2,55,Condominium,1,Partly Furnished,0,Built-up,1085
25,Desa ParkCity,1370000,2,3,0,55,Condominium,1,Partly Furnished,0,Built-up,1572
25,Desa ParkCity,3480000,2.5,5,0,20,3-sty Terrace/Link House (Corner),1,Partly Furnished,1,Land area,3450
25,Desa ParkCity,1350000,3,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1292
40,KLCC,2300000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,1023
40,KLCC,1900000,3,2,1,55,Condominium,1,Partly Furnished,0,Built-up,915
40,KLCC,1450000,3,2,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1090
40,KLCC,1000000,3,1,0,62,Condominium (Studio),0,Fully Furnished,0,Built-up,657
40,KLCC,1300000,3,1,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,925
40,KLCC,3600000,3,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
82,Taman Tun Dr Ismail,5350000,3,5,3,44,Bungalow,1,Partly Furnished,1,Land area,7200
14,Bukit Jalil,1050000,2.5,4,4,55,Condominium,1,Partly Furnished,0,Built-up,1772
14,Bukit Jalil,1200000,3,4,4,55,Condominium,1,Partly Furnished,0,Built-up,1930
14,Bukit Jalil,900000,2.5,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1513
23,Damansara Heights,2251800,1.5,4,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,1668
14,Bukit Jalil,998000,3,5,4,22,3-sty Terrace/Link House (EndLot),1,Partly Furnished,1,Land area,1650
50,Mont Kiara,1550000,2,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1496
67,Setapak,780000,3,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1368
25,Desa ParkCity,1380000,3,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1292
25,Desa ParkCity,1798000,2,3,2,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,2200
40,KLCC,1300000,3,1,1,79,Serviced Residence,2,Unfurnished,0,Built-up,925
40,KLCC,1268000,3,3,1,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1619
40,KLCC,2600000,2,4,3,55,Condominium,0,Fully Furnished,0,Built-up,2809
40,KLCC,4200000,2,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,2195
40,KLCC,3330000,1.5,3,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,2789
40,KLCC,2600000,3,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1184
40,KLCC,1950000,1,2,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,1076
64,Sentul,900000,2,4,3,55,Condominium,2,Unfurnished,0,Built-up,1381
40,KLCC,1400000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1050
23,Damansara Heights,6500000,3,5,4,44,Bungalow,1,Partly Furnished,1,Land area,7200
50,Mont Kiara,1800000,3,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1830
8,Bangsar,3800000,2.5,5,4,45,Bungalow (Corner),1,Partly Furnished,0,Built-up,4067
9,Bangsar South,350000,3,1,1,36,Apartment,2,Unfurnished,0,Built-up,495
40,KLCC,3600000,2.5,5,2,84,Serviced Residence (Penthouse),3,Unknown,0,Built-up,3897
63,Segambut,635000,2,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1643
76,Taman Desa,530000,3,2,0,79,Serviced Residence,2,Unfurnished,0,Built-up,715
40,KLCC,5070000,2,4,3,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,2142
37,KL City,1207000,3,1,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,685
37,KL City,1177000,3,1,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,717
88,Wangsa Maju,700000,3,2,2,55,Condominium,1,Partly Furnished,0,Built-up,1152
3,Ampang Hilir,3710000,2.5,5,0,55,Condominium,1,Partly Furnished,0,Built-up,3369
50,Mont Kiara,1900000,2,4,0,55,Condominium,0,Fully Furnished,0,Built-up,2411
50,Mont Kiara,3785400,3,5,3,57,Condominium (Duplex),1,Partly Furnished,0,Built-up,3907
40,KLCC,1300000,3,2,2,55,Condominium,0,Fully Furnished,0,Built-up,871
64,Sentul,960000,2,4,2,56,Condominium (Corner),2,Unfurnished,0,Built-up,1488
37,KL City,490000,3,2,2,55,Condominium,2,Unfurnished,0,Built-up,1065
50,Mont Kiara,4200000,3,5,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3709
40,KLCC,1450000,3,1,1,82,Serviced Residence (EndLot),0,Fully Furnished,0,Built-up,1050
25,Desa ParkCity,2380000,2.5,4,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,2454
25,Desa ParkCity,1350000,2,3,2,56,Condominium (Corner),2,Unfurnished,0,Built-up,1389
40,KLCC,1800000,2.5,5,0,55,Condominium,2,Unfurnished,0,Built-up,2315
14,Bukit Jalil,1210000,3,6,4,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,3400
82,Taman Tun Dr Ismail,4995000,3,7,6,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,8113
50,Mont Kiara,1900000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1830
40,KLCC,2700000,3,2,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,1195
40,KLCC,6300000,2,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,2195
40,KLCC,1900000,1.5,2,1,55,Condominium,0,Fully Furnished,0,Built-up,915
40,KLCC,3000000,2.5,5,3,55,Condominium,1,Partly Furnished,0,Built-up,3218
67,Setapak,240000,3,2,1,55,Condominium,2,Unfurnished,0,Built-up,850
40,KLCC,1300000,3,2,0,56,Condominium (Corner),0,Fully Furnished,0,Built-up,871
40,KLCC,1000000,3,1,1,58,Condominium (EndLot),1,Partly Furnished,0,Built-up,751
40,KLCC,1000000,3,1,1,58,Condominium (EndLot),1,Partly Furnished,0,Built-up,751
40,KLCC,2000000,1.5,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1350
40,KLCC,6380000,2,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,2195
50,Mont Kiara,2480000,2.5,6,0,55,Condominium,1,Partly Furnished,0,Built-up,2702
10,Batu Caves,676775,2,3,4,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,1265
50,Mont Kiara,2280000,2.5,5,0,55,Condominium,1,Partly Furnished,0,Built-up,2702
50,Mont Kiara,1830000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1830
20,City Centre,1750000,1.5,3,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,1442
25,Desa ParkCity,1780000,2,3,2,12,2-sty Terrace/Link House (Intermediate),0,Fully Furnished,0,Built-up,2400
42,Kepong,3380000,3,4,0,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,4050
14,Bukit Jalil,1200000,3,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1930
40,KLCC,2300000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,1046
40,KLCC,2300000,3,1,2,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,1046
50,Mont Kiara,1600000,2,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1878
50,Mont Kiara,1291000,3,4,3,55,Condominium,1,Partly Furnished,0,Built-up,2069
40,KLCC,880000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,710
32,Jalan Klang Lama (Old Klang Road),655000,2,2,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,1094
50,Mont Kiara,2150000,2,5,3,55,Condominium,2,Unfurnished,0,Built-up,2700
50,Mont Kiara,1400000,2,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1496
40,KLCC,7975250,2.5,6,2,84,Serviced Residence (Penthouse),0,Fully Furnished,0,Built-up,2975
50,Mont Kiara,1100000,3,2,2,55,Condominium,1,Partly Furnished,0,Built-up,1200
40,KLCC,1238000,3,2,1,55,Condominium,1,Partly Furnished,0,Built-up,736
9,Bangsar South,750000,3,2,1,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,823
23,Damansara Heights,2100000,2,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2153
14,Bukit Jalil,900000,2.5,4,0,55,Condominium,2,Unfurnished,0,Built-up,1513
50,Mont Kiara,1500000,3,2,2,55,Condominium,0,Fully Furnished,0,Built-up,1200
50,Mont Kiara,2300000,2.5,6,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2702
40,KLCC,1000000,1.5,2,0,79,Serviced Residence,1,Partly Furnished,0,Built-up,777
40,KLCC,990000,2,3,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1313
40,KLCC,3960000,2,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,2195
40,KLCC,2700000,3,2,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1184
40,KLCC,1900000,1,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1087
25,Desa ParkCity,5460000,4,9,6,28,3.5-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,7000
40,KLCC,2050000,2,5,2,55,Condominium,0,Fully Furnished,0,Built-up,2356
9,Bangsar South,1121800,1.5,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1200
40,KLCC,1506300,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1020
8,Bangsar,1530000,2,3,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,2095
2,Ampang,3680000,3,8,4,45,Bungalow (Corner),2,Unfurnished,1,Land area,6300
40,KLCC,3600000,2,5,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
50,Mont Kiara,2300000,2.5,5,0,55,Condominium,1,Partly Furnished,0,Built-up,2906
25,Desa ParkCity,1480000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1917
9,Bangsar South,1050000,3,2,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1485
44,Klcc,1200019,3,2,1,56,Condominium (Corner),1,Partly Furnished,0,Built-up,577
19,Cheras,780000,2.5,4,0,45,Bungalow (Corner),2,Unfurnished,1,Land area,5320
40,KLCC,1999000,3,2,1,83,Serviced Residence (Intermediate),2,Unfurnished,0,Built-up,1271
50,Mont Kiara,1820000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1830
3,Ampang Hilir,3700000,2.5,5,2,56,Condominium (Corner),2,Unfurnished,0,Built-up,3628
50,Mont Kiara,1420000,2,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1499
50,Mont Kiara,1830000,2.5,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1832
40,KLCC,1680000,2,2,3,55,Condominium,0,Fully Furnished,0,Built-up,1159
40,KLCC,2210000,3,3,2,55,Condominium,0,Fully Furnished,0,Built-up,1502
40,KLCC,1420000,3,2,1,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,976
40,KLCC,3600000,2.5,5,2,80,Serviced Residence (Corner),1,Partly Furnished,1,Land area,3897
40,KLCC,1238000,3,2,1,55,Condominium,1,Partly Furnished,0,Built-up,736
40,KLCC,1139000,3,1,1,55,Condominium,1,Partly Furnished,0,Built-up,751
40,KLCC,2930000,3,2,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1114
25,Desa ParkCity,1580000,3,3,0,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,1900
23,Damansara Heights,1620000,1,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,1194
25,Desa ParkCity,1300000,1.5,3,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1367
21,Country Heights Damansara,8000000,3,7,6,45,Bungalow (Corner),1,Partly Furnished,1,Land area,10600
23,Damansara Heights,6500000,3,4,6,45,Bungalow (Corner),1,Partly Furnished,1,Land area,7880
25,Desa ParkCity,1200000,3,2,0,88,Townhouse,1,Partly Furnished,0,Built-up,1400
8,Bangsar,1600000,3,2,2,88,Townhouse,1,Partly Furnished,0,Built-up,2400
25,Desa ParkCity,1730000,2,3,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1690
25,Desa ParkCity,1500000,2,2,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1346
25,Desa ParkCity,2800000,2,4,0,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,1302
25,Desa ParkCity,3280000,2.5,4,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,3200
25,Desa ParkCity,1500000,2,3,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1400
25,Desa ParkCity,5500000,3.5,8,0,28,3.5-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,2805
25,Desa ParkCity,1180000,1.5,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1507
25,Desa ParkCity,2300000,3,3,0,12,2-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,1826
25,Desa ParkCity,1950000,2,3,0,12,2-sty Terrace/Link House (Intermediate),0,Fully Furnished,0,Built-up,2300
40,KLCC,2950000,2,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2674
9,Bangsar South,490000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,520
40,KLCC,3090000,3,2,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,1572
40,KLCC,1230000,2,4,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1378
32,Jalan Klang Lama (Old Klang Road),350000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,950
